,0,1,2,3
301,-4.1563138,-0.1819006,1.3821139,2.0770446
302,-4.478508,-0.1675576,1.1965888,2.0777904
303,-4.8280005,-0.1549108,1.0368689,2.0784015
304,-5.2069653,-0.1436581,0.8993862,2.0788933
305,-5.6177804,-0.1335769,0.7810657,2.0792787
306,-6.0630393,-0.1245006,0.6792583,2.0795683
307,-6.5455641,-0.1163022,0.5916826,2.0797717
308,-7.0684225,-0.1088835,0.5163742,2.0798971
309,-7.634945,-0.1021674,0.4516429,2.0799518
310,-8.2487455,-0.0960928,0.3960352,2.0799426
311,-8.9137437,-0.0906108,0.3483015,2.0798757
312,-9.6341895,-0.0856826,0.3073692,2.0797568
313,-10.4146895,-0.0812777,0.2723185,2.0795912
314,-11.2602364,-0.0773732,0.2423625,2.0793841
315,-12.1762404,-0.0739534,0.2168298,2.0791403
316,-13.1685638,-0.0710096,0.1951498,2.0788648
317,-14.2435583,-0.0685411,0.1768413,2.0785621
318,-15.4081052,-0.0665556,0.1615024,2.0782372
319,-16.66966,-0.0650713,0.1488031,2.077895
320,-18.0362992,-0.0641192,0.13848,2.0775405
321,-19.5167727,-0.0637463,0.1303338,2.0771793
322,-21.120559,-0.0640214,0.1242292,2.0768176
323,-22.8579263,-0.0650417,0.1200989,2.0764623
324,-24.7399978,-0.0669446,0.117952,2.0761214
325,-26.7788226,-0.0699234,0.1178897,2.0758047
326,-28.9874531,-0.0742519,0.1201315,2.0755244
327,-31.3800272,-0.080323,0.1250574,2.0752956
328,-33.971859,-0.0887074,0.1332755,2.0751385
329,-36.7795347,-0.1002502,0.1457333,2.0750802
330,-39.8210165,-0.1162279,0.1639001,2.0751582
331,-43.1157531,-0.1386159,0.1900766,2.0754259
332,-46.6847946,-0.1705512,0.2279311,2.075962
333,-50.5509069,-0.2171638,0.2834574,2.0768852
334,-54.7386735,-0.2871176,0.3667418,2.0783819
335,-59.2745442,-0.3955694,0.4953425,2.0807538
336,-64.1867272,-0.5700811,0.7010036,2.0845093
337,-69.5045893,-0.8629339,1.0435681,2.0905412
338,-75.256454,-1.3779581,1.6411358,2.1004898
339,-81.4617064,-2.3318277,2.7386176,2.1175205
340,-88.1005834,-4.2008894,4.8712263,2.1480747
341,-94.9866265,-8.086365,9.2699873,2.2060066
342,-101.1696251,-16.610099,18.8599297,2.322665
343,-101.9949976,-35.4955938,40.107663,2.5700079
344,-78.1402447,-68.7878165,78.8479055,3.0842506
345,-7.8746836,-78.5626143,99.8817479,3.8674027
346,46.8891989,-35.2368495,74.2597911,4.4505358
347,60.6222271,5.7583793,57.6958956,4.583036
348,53.8357665,31.717862,60.5478235,4.3831513
349,31.9525524,44.2175017,67.9211286,3.9891699
350,4.2453733,39.17549,65.5757612,3.5579939
351,-15.3442966,22.8589138,54.7046422,3.2432823
352,-24.2837561,6.981256,44.4327067,3.0963421
