index,value
1331,0.72322
1332,1.3424
1333,1.8301
1334,2.013
1335,2.0769
1336,2.0702
1337,1.843
1338,1.1442
1339,0.71694
1340,0.51839
1341,0.43878
1342,0.43749
1343,0.84362
1344,1.5818
1345,1.8377
1346,1.739
1347,1.6114
1348,1.8176
1349,1.4895
1350,0.93631
1351,0.71212
1352,0.72072
1353,0.69818
1354,0.68681
1355,1.2517
1356,1.793
1357,1.9969
1358,2.0746
1359,2.0702
1360,1.9251
1361,1.2215
1362,0.75502
1363,0.53086
1364,0.4439
1365,0.42576
1366,0.75431
1367,1.5087
1368,1.8077
1369,1.7255
1370,1.6054
1371,1.7709
1372,1.5728
1373,0.9906
1374,0.74611
1375,0.73328
1376,0.72703
1377,0.66778
1378,1.1624
1379,1.7462
1380,1.9841
1381,2.0742
1382,2.0758
1383,1.9908
1384,1.3054
1385,0.79794
1386,0.55212
1387,0.44892
1388,0.41849
1389,0.675
1390,1.424
1391,1.8019
1392,1.7451
1393,1.6134
1394,1.7217
1395,1.6549
1396,1.047
1397,0.7576
1398,0.72672
1399,0.74246
1400,0.65472
1401,1.0715
1402,1.6944
1403,1.9655
1404,2.0675
1405,2.1122
1406,2.0591
1407,1.4003
1408,0.84668
1409,0.57409
1410,0.45279
1411,0.40588
1412,0.59702
1413,1.3233
1414,1.7846
1415,1.7575
1416,1.6063
1417,1.6511
1418,1.7253
1419,1.1118
1420,0.77838
1421,0.72728
1422,0.77282
1423,0.66606
1424,0.98844
1425,1.6357
1426,1.9656
1427,2.076
1428,2.0949
1429,2.0786
1430,1.4872
1431,0.89282
1432,0.58717
1433,0.45852
1434,0.41195
1435,0.54848
1436,1.2314
1437,1.7575
1438,1.7594
1439,1.6221
1440,1.6254
1441,1.7817
1442,1.1767
1443,0.80905
1444,0.73763
1445,0.77726
1446,0.6685
1447,0.91247
1448,1.5707
1449,1.9228
1450,2.0523
1451,2.0909
1452,2.092
1453,1.578
1454,0.95178
1455,0.62005
1456,0.47409
1457,0.41798
1458,0.50749
1459,1.131
1460,1.7306
1461,1.785
1462,1.6506
1463,1.6085
1464,1.823
1465,1.2494
1466,0.82982
1467,0.71661
1468,0.75764
1469,0.66881
1470,0.83786
1471,1.4994
1472,1.8936
1473,2.0393
1474,2.0867
1475,2.0925
1476,1.6729
1477,1.0129
1478,0.64936
1479,0.48646
1480,0.41911
1481,0.4725
1482,1.028
1483,1.6892
1484,1.7994
1485,1.6651
1486,1.5882
1487,1.8369
1488,1.3269
1489,0.86163
1490,0.7268
1491,0.76614
1492,0.69052
1493,0.78161
1494,1.4228
1495,1.8642
1496,2.0304
1497,2.0869
1498,2.0919
1499,1.7636
1500,1.0776
1501,0.68094
1502,0.5006
1503,0.42781
1504,0.44925
1505,0.93031
1506,1.6391
1507,1.8063
1508,1.6874
1509,1.5875
1510,1.8316
1511,1.4077
1512,0.89972
1513,0.7285
1514,0.75494
1515,0.70331
1516,0.73235
1517,1.3389
1518,1.8291
1519,2.0166
1520,2.0854
1521,2.0884
1522,1.8515
1523,1.1491
1524,0.7174
1525,0.51529
1526,0.43539
1527,0.43257
1528,0.8354
1529,1.577
1530,1.8096
1531,1.7078
1532,1.5914
1533,1.8045
1534,1.4922
1535,0.94372
1536,0.73547
1537,0.74608
1538,0.71919
1539,0.69523
1540,1.2499
1541,1.7896
1542,2.0016
1543,2.0797
1544,2.0836
1545,1.93
1546,1.2267
1547,0.75486
1548,0.52988
1549,0.43938
1550,0.42124
1551,0.74764
1552,1.5033
1553,1.805
1554,1.7197
1555,1.5937
1556,1.7602
1557,1.5761
1558,0.99401
1559,0.74635
1560,0.74019
1561,0.73826
1562,0.67252
1563,1.1599
1564,1.7438
1565,1.9861
1566,2.0758
1567,2.087
1568,1.9961
1569,1.3098
1570,0.79747
1571,0.54797
1572,0.4447
1573,0.41433
1574,0.66953
1575,1.4192
1576,1.811
1577,1.7592
1578,1.6096
1579,1.7132
1580,1.6573
1581,1.0485
1582,0.74926
1583,0.72147
1584,0.74584
1585,0.65708
1586,1.0692
1587,1.6952
1588,1.9628
1589,2.0664
1590,2.0794
1591,2.0424
1592,1.3947
1593,0.84617
1594,0.57483
1595,0.45762
1596,0.41686
1597,0.60646
1598,1.3302
1599,1.7865
1600,1.7624
1601,1.6281
1602,1.6767
1603,1.7285
1604,1.1098
1605,0.77798
1606,0.72223
1607,0.75175
1608,0.65088
1609,0.98414
1610,1.6354
1611,1.9548
1612,2.0665
1613,2.0834
1614,2.074
1615,1.4871
1616,0.89504
1617,0.59216
1618,0.46364
1619,0.41675
1620,0.55071
1621,1.2316
1622,1.7601
1623,1.7689
1624,1.6354
1625,1.6362
1626,1.7856
1627,1.1777
1628,0.80531
1629,0.72835
1630,0.76414
1631,0.65972
1632,0.90712
1633,1.5695
1634,1.9214
1635,2.0514
1636,2.088
1637,2.0911
1638,1.5811
1639,0.9534
1640,0.62474
1641,0.47785
1642,0.42078
1643,0.50712
1644,1.1282
1645,1.7308
1646,1.7955
1647,1.6613
1648,1.6143
1649,1.8264
1650,1.2522
1651,0.82729
1652,0.71327
1653,0.75453
1654,0.66564
1655,0.83372
1656,1.4976
1657,1.8948
1658,2.0404
1659,2.0858
1660,2.0909
1661,1.6762
1662,1.0145
1663,0.64854
1664,0.48768
1665,0.42576
1666,0.47393
1667,1.0256
1668,1.6879
1669,1.7958
1670,1.674
1671,1.5986
1672,1.8418
1673,1.3304
1674,0.8649
1675,0.71828
1676,0.74408
1677,0.67835
1678,0.7738
1679,1.4164
1680,1.8611
1681,2.0257
1682,2.0848
1683,2.0864
1684,1.7695
1685,1.0826
1686,0.68621
1687,0.50374
1688,0.43322
1689,0.45036
1690,0.92434
1691,1.6355
1692,1.8104
1693,1.698
1694,1.5979
1695,1.8354
1696,1.4151
1697,0.90178
1698,0.7262
1699,0.74525
1700,0.69605
1701,0.72456
1702,1.3307
1703,1.8267
1704,2.0138
1705,2.0826
1706,2.0815
1707,1.8578
1708,1.1552
1709,0.72131
1710,0.51915
1711,0.43904
1712,0.43366
1713,0.82866
1714,1.5714
1715,1.8126
1716,1.7154
1717,1.5995
1718,1.806
1719,1.5004
1720,0.94722
1721,0.73083
1722,0.7042
1723,0.69902
1724,0.68353
1725,1.2386
1726,1.785
1727,1.9929
1728,2.0722
1729,2.0687
1730,1.9343
1731,1.2341
1732,0.76212
1733,0.5395
1734,0.44788
1735,0.42612
1736,0.74244
1737,1.4965
1738,1.8334
1739,1.7745
1740,1.6281
1741,1.7734
1742,1.589
1743,0.99579
1744,0.71928
1745,0.70376
1746,0.70922
1747,0.65441
1748,1.1434
1749,1.7398
1750,1.972
1751,2.065
1752,2.0652
1753,1.9989
1754,1.318
1755,0.807
1756,0.55964
1757,0.45347
1758,0.42112
1759,0.6651
1760,1.4103
1761,1.8064
1762,1.7574
1763,1.6259
1764,1.7213
1765,1.6687
1766,1.0556
1767,0.75699
1768,0.71109
1769,0.73226
1770,0.64713
1771,1.0547
1772,1.686
1773,1.9729
1774,2.0705
1775,2.074
1776,2.046
1777,1.4082
1778,0.84959
1779,0.57279
1780,0.45825
1781,0.41811
1782,0.59827
1783,1.3174
1784,1.7805
1785,1.7579
1786,1.6293
1787,1.6721
1788,1.738
1789,1.1194
1790,0.78117
1791,0.72489
1792,0.75341
1793,0.65095
1794,0.97244
1795,1.6255
1796,1.9411
1797,2.0595
1798,2.0805
1799,2.0751
1800,1.5004
1801,0.90527
1802,0.60151
1803,0.46796
1804,0.41942
1805,0.54499
1806,1.2164
1807,1.7593
1808,1.7788
1809,1.6468
1810,1.6381
1811,1.7952
1812,1.1889
1813,0.80408
1814,0.6967
1815,0.71097
1816,0.63906
1817,0.8866
1818,1.5569
1819,1.9131
1820,2.0346
1821,2.0663
1822,2.0785
1823,1.5958
1824,0.96366
1825,0.63279
1826,0.48544
1827,0.43061
1828,0.50606
1829,1.1135
1830,1.7262
1831,1.8015
1832,1.6817
1833,1.631
1834,1.8382
1835,1.2663
1836,0.83259
1837,0.70925
1838,0.73779
1839,0.65392
1840,0.81545
1841,1.4814
1842,1.8857
1843,2.034
1844,2.0763
1845,2.0837
1846,1.6947
1847,1.0277
1848,0.65601
1849,0.49284
1850,0.43143
1851,0.47084
1852,1.0061
1853,1.6787
1854,1.8006
1855,1.686
1856,1.6068
1857,1.8464
1858,1.3482
1859,0.87212
1860,0.71851
1861,0.74535
1862,0.67804
1863,0.7602
1864,1.3981
1865,1.8534
1866,2.0238
1867,2.0839
1868,2.0835
1869,1.7892
1870,1.098
1871,0.6922
1872,0.50589
1873,0.42886
1874,0.44425
1875,0.90232
1876,1.6221
1877,1.8094
1878,1.693
1879,1.5883
1880,1.8261
1881,1.4324
1882,0.91145
1883,0.7287
1884,0.75208
1885,0.70745
1886,0.71993
1887,1.3133
